Nama,Latitude,Longitude,Kecamatan,Source_URL
"Jembatan Cilongkrang",-6.8937363,108.3057861,"Talaga","https://www.google.com/maps/place/Jembatan+Cilongkrang/data=!4m7!3m6!1s0x2e6f24c90783896f:0x3378ec8c8ab9807a!8m2!3d-6.8937363!4d108.3057861!16s%2Fg%2F11f126sdpz!19sChIJb4mDB8kkby4ReoC5iozseDM?authuser=0&hl=id&rclk=1"
"Jembatan Cilongktang",-6.9027912,108.3189396,"Talaga","https://www.google.com/maps/place/Jembatan+Cilongktang/data=!4m7!3m6!1s0x2e6f3be60a11a5bb:0x5cb8b009bb8ea448!8m2!3d-6.9027912!4d108.3189396!16s%2Fg%2F11jln0s7ph!19sChIJu6URCuY7by4RSKSOuwmwuFw?authuser=0&hl=id&rclk=1"
"Jembatan Cipari",-6.8614851,108.3221752,"Talaga","https://www.google.com/maps/place/Jembatan+Cipari/data=!4m7!3m6!1s0x2e6f2487c7dc37ff:0x934c1ce7f28d2448!8m2!3d-6.8614851!4d108.3221752!16s%2Fg%2F11dxjl05dr!19sChIJ_zfcx4ckby4RSCSN8uccTJM?authuser=0&hl=id&rclk=1"
"Jembatan Gantung Cicalung",-6.8445684,108.3188137,"Talaga","https://www.google.com/maps/place/Jembatan+Gantung+Cicalung/data=!4m7!3m6!1s0x2e6f246e768cf51d:0x27aaaa5d1f9d0b52!8m2!3d-6.8445684!4d108.3188137!16s%2Fg%2F11dxjmnbjm!19sChIJHfWMdm4kby4RUgudH12qqic?authuser=0&hl=id&rclk=1"
"Jembatan Cikeruh",-6.8001375,108.2948514,"Talaga","https://www.google.com/maps/place/Jembatan+Cikeruh/data=!4m7!3m6!1s0x2e6f268d3caae891:0xd730633c00ee396c!8m2!3d-6.8001375!4d108.2948514!16s%2Fg%2F11g6v_rlcr!19sChIJkeiqPI0mby4RbDnuADxjMNc?authuser=0&hl=id&rclk=1"
"Jembatan Ciwaringin",-6.7830204,108.3497791,"Talaga","https://www.google.com/maps/place/Jembatan+Ciwaringin/data=!4m7!3m6!1s0x2e6f212472bcf73d:0x5c268d810bc23c1c!8m2!3d-6.7830204!4d108.3497791!16s%2Fg%2F11c6z0jvzz!19sChIJPfe8ciQhby4RHDzCC4GNJlw?authuser=0&hl=id&rclk=1"
"Jembatan Cipamintar",-6.9661828,108.315487,"Talaga","https://www.google.com/maps/place/Jembatan+Cipamintar/data=!4m7!3m6!1s0x2e6f3bec73ed1c71:0x5c6f595a37fe366b!8m2!3d-6.9661828!4d108.315487!16s%2Fg%2F11f3bd8c61!19sChIJcRztc-w7by4Razb-N1pZb1w?authuser=0&hl=id&rclk=1"
"Jembatan Cinambo",-6.9560775,108.2822389,"Talaga","https://www.google.com/maps/place/Jembatan+Cinambo/data=!4m7!3m6!1s0x2e6f3b0076b5cb6d:0x8f547b90ceed96b!8m2!3d-6.9560775!4d108.2822389!16s%2Fg%2F11yrtknf4x!19sChIJbcu1dgA7by4Ra9nuDLlH9Qg?authuser=0&hl=id&rclk=1"
"Jembatan Cikadongdong",-6.8253863,108.35879,"Talaga","https://www.google.com/maps/place/Jembatan+Cikadongdong/data=!4m7!3m6!1s0x2e6f23dd051ea013:0x545c9da869ea0495!8m2!3d-6.8253863!4d108.35879!16s%2Fg%2F11c7w22mj9!19sChIJE6AeBd0jby4RlQTqaaidXFQ?authuser=0&hl=id&rclk=1"
"Jembatan Cirungking",-6.9783463,108.3286292,"Talaga","https://www.google.com/maps/place/Jembatan+Cirungking/data=!4m7!3m6!1s0x2e6f3b626a9d093d:0xb4b4a6b5e445d8f4!8m2!3d-6.9783463!4d108.3286292!16s%2Fg%2F11mk645bgn!19sChIJPQmdamI7by4R9NhF5LWmtLQ?authuser=0&hl=id&rclk=1"
"Jembatan Ciawi 1 Simpeureum",-6.8367476,108.2550203,"Talaga","https://www.google.com/maps/place/Jembatan+Ciawi+1+Simpeureum/data=!4m7!3m6!1s0x2e6f25ec03accc01:0x71d44d6603477cf9!8m2!3d-6.8367476!4d108.2550203!16s%2Fg%2F11dxl830q9!19sChIJAcysA-wlby4R-XxHA2ZN1HE?authuser=0&hl=id&rclk=1"
"Jembatan Ciputri Rajagaluh",-6.7833348,108.3479544,"Talaga","https://www.google.com/maps/place/Jembatan+Ciputri+Rajagaluh/data=!4m7!3m6!1s0x2e6f21244cf8680b:0xbc340bee0d7ed832!8m2!3d-6.7833348!4d108.3479544!16s%2Fg%2F11g6v_q9x1!19sChIJC2j4TCQhby4RMth-De4LNLw?authuser=0&hl=id&rclk=1"
"Jembatan Cijurey",-6.9638487,108.2466793,"Talaga","https://www.google.com/maps/place/Jembatan+Cijurey/data=!4m7!3m6!1s0x2e6f3b8c57aed2d9:0xe29f139b6bffee01!8m2!3d-6.9638487!4d108.2466793!16s%2Fg%2F11smyk1jm0!19sChIJ2dKuV4w7by4RAe7_a5sTn-I?authuser=0&hl=id&rclk=1"
"Jembatan",-6.8214233,108.2006133,"Talaga","https://www.google.com/maps/place/Jembatan/data=!4m7!3m6!1s0x2e6f29622a1d4bb9:0xe1bda9749448ccd9!8m2!3d-6.8214233!4d108.2006133!16s%2Fg%2F11rc43xgkg!19sChIJuUsdKmIpby4R2cxIlHSpveE?authuser=0&hl=id&rclk=1"
"Jembatan Cibarengkok",-6.9522054,108.2834031,"Talaga","https://www.google.com/maps/place/Jembatan+Cibarengkok/data=!4m7!3m6!1s0x2e6f3b004f4e6a37:0x4b9bf50573670832!8m2!3d-6.9522054!4d108.2834031!16s%2Fg%2F11z6gzzmd6!19sChIJN2pOTwA7by4RMghncwX1m0s?authuser=0&hl=id&rclk=1"
"Jembatan Gantung Kali Merah",-6.9533053,108.237031,"Talaga","https://www.google.com/maps/place/Jembatan+Gantung+Kali+Merah/data=!4m7!3m6!1s0x2e6f3082855e7b59:0x1056c92fa9cfcdd2!8m2!3d-6.9533053!4d108.237031!16s%2Fg%2F11cs4dvn1n!19sChIJWXtehYIwby4R0s3PqS_JVhA?authuser=0&hl=id&rclk=1"
"JEMBATAN CIHERANG",-6.7977773,108.3309799,"Sumberjaya","https://www.google.com/maps/place/JEMBATAN+CIHERANG/data=!4m7!3m6!1s0x2e6f26b561d44669:0x5b16cb16e82fdd15!8m2!3d-6.7977773!4d108.3309799!16s%2Fg%2F11c6z057kc!19sChIJaUbUYbUmby4RFd0v6BbLFls?authuser=0&hl=id&rclk=1"
"Jembatan Cikeruh",-6.724317,108.2807755,"Talaga","https://www.google.com/maps/place/Jembatan+Cikeruh/data=!4m7!3m6!1s0x2e6ed863eaa14947:0x6c7cae1ef6dcc93c!8m2!3d-6.724317!4d108.2807755!16s%2Fg%2F11dxjgv4bq!19sChIJR0mh6mPYbi4RPMnc9h6ufGw?authuser=0&hl=id&rclk=1"
"Jembatan Ciasem",-6.8537806,108.2849153,"Sukahaji","https://www.google.com/maps/place/Jembatan+Ciasem/data=!4m7!3m6!1s0x2e6f25f1f6ce3397:0xff2ee8667dc59e0f!8m2!3d-6.8537806!4d108.2849153!16s%2Fg%2F11rfd6mdn9!19sChIJlzPO9vElby4RD57FfWboLv8?authuser=0&hl=id&rclk=1"
"Jembatan Cicamay",-6.95923,108.2290535,"Talaga","https://www.google.com/maps/place/Jembatan+Cicamay/data=!4m7!3m6!1s0x2e6f309bb46081f1:0x1befa2d78cccfd81!8m2!3d-6.95923!4d108.2290535!16s%2Fg%2F11gcqwt6np!19sChIJ8YFgtJswby4Rgf3MjNei7xs?authuser=0&hl=id&rclk=1"
"Jembatan Cigaleuh",-6.9983181,108.2372571,"Talaga","https://www.google.com/maps/place/Jembatan+Cigaleuh/data=!4m7!3m6!1s0x2e6f3758709d973f:0xf1533e8687369d26!8m2!3d-6.9983181!4d108.2372571!16s%2Fg%2F11f_4rsbm5!19sChIJP5edcFg3by4RJp02h4Y-U_E?authuser=0&hl=id&rclk=1"
"JEMBATAN ATOG KULON",-6.7862651,108.3489307,"Sumberjaya","https://www.google.com/maps/place/JEMBATAN+ATOG+KULON/data=!4m7!3m6!1s0x2e6f2124c817e301:0x295914d674f76be2!8m2!3d-6.7862651!4d108.3489307!16s%2Fg%2F11g6xp2ndw!19sChIJAeMXyCQhby4R4mv3dNYUWSk?authuser=0&hl=id&rclk=1"
"JEMBATAN ATOG WETAN",-6.7855221,108.351421,"Sumberjaya","https://www.google.com/maps/place/JEMBATAN+ATOG+WETAN/data=!4m7!3m6!1s0x2e6f2123426716e1:0x818242cd5d59e6e5!8m2!3d-6.7855221!4d108.351421!16s%2Fg%2F11dxjhh7_b!19sChIJ4RZnQiMhby4R5eZZXc1CgoE?authuser=0&hl=id&rclk=1"
"Jembatan Senangrasa",-6.9689325,108.2643353,"Talaga","https://www.google.com/maps/place/Jembatan+Senangrasa/data=!4m7!3m6!1s0x2e6f3b748c9997b1:0xacf56a019053ca66!8m2!3d-6.9689325!4d108.2643353!16s%2Fg%2F11vbcdrgrp!19sChIJsZeZjHQ7by4RZspTkAFq9aw?authuser=0&hl=id&rclk=1"
"Jembatan Cikarikil",-6.8040424,108.3756644,"Sumberjaya","https://www.google.com/maps/place/Jembatan+Cikarikil/data=!4m7!3m6!1s0x2e6f216d40374859:0xa6f52a7292b05cd7!8m2!3d-6.8040424!4d108.3756644!16s%2Fg%2F11f78cb49x!19sChIJWUg3QG0hby4R11ywknIq9aY?authuser=0&hl=id&rclk=1"
"Jembatan Sarongge",-6.7949664,108.3490209,"Sumberjaya","https://www.google.com/maps/place/Jembatan+Sarongge/data=!4m7!3m6!1s0x2e6f21328cf812d9:0x94ed517f71fcd220!8m2!3d-6.7949664!4d108.3490209!16s%2Fg%2F11hzc0b3d3!19sChIJ2RL4jDIhby4RINL8cX9R7ZQ?authuser=0&hl=id&rclk=1"
"Jembatan Cilandak",-6.7843802,108.3440544,"Sumberjaya","https://www.google.com/maps/place/Jembatan+Cilandak/data=!4m7!3m6!1s0x2e6f21aab555d279:0xecd6f71d9b030ecd!8m2!3d-6.7843802!4d108.3440544!16s%2Fg%2F11f7lfrkcx!19sChIJedJVtaohby4RzQ4Dmx331uw?authuser=0&hl=id&rclk=1"
"Jembatan Cibeureum",-7.019261,108.3044203,"Talaga","https://www.google.com/maps/place/Jembatan+Cibeureum/data=!4m7!3m6!1s0x2e6f392b25353adf:0xcf4f0934f98e8eee!8m2!3d-7.019261!4d108.3044203!16s%2Fg%2F11gj76pvv9!19sChIJ3zo1JSs5by4R7o6O-TQJT88?authuser=0&hl=id&rclk=1"
"Jembatan Cikijing I",-7.0193981,108.3608326,"Talaga","https://www.google.com/maps/place/Jembatan+Cikijing+I/data=!4m7!3m6!1s0x2e6f3ee1099c020f:0x538c5f4a42a0e746!8m2!3d-7.0193981!4d108.3608326!16s%2Fg%2F11gbzcq75f!19sChIJDwKcCeE-by4RRuegQkpfjFM?authuser=0&hl=id&rclk=1"
"Jembatan Cilengkrang",-6.9592467,108.2032611,"Talaga","https://www.google.com/maps/place/Jembatan+Cilengkrang/data=!4m7!3m6!1s0x2e6f31b01fbceb09:0x2fed2815fef81b2a!8m2!3d-6.9592467!4d108.2032611!16s%2Fg%2F11rmqq4ygl!19sChIJCeu8H7Axby4RKhv4_hUo7S8?authuser=0&hl=id&rclk=1"
"Jembatan ciburang",-7.038149,108.3257841,"Talaga","https://www.google.com/maps/place/Jembatan+ciburang/data=!4m7!3m6!1s0x2e6f396e1dfc1fd7:0xf66cee1ccd719eb0!8m2!3d-7.038149!4d108.3257841!16s%2Fg%2F11s1qqws1p!19sChIJ1x_8HW45by4RsJ5xzRzubPY?authuser=0&hl=id&rclk=1"
"Jembatan Desa Cipeundeuy",-7.0141042,108.2362298,"Talaga","https://www.google.com/maps/place/Jembatan+Desa+Cipeundeuy/data=!4m7!3m6!1s0x2e6f37625dfd619d:0xe80357bfab6263a9!8m2!3d-7.0141042!4d108.2362298!16s%2Fg%2F11fz2r9tl_!19sChIJnWH9XWI3by4RqWNiq79XA-g?authuser=0&hl=id&rclk=1"
"Jembatan Cimanuk Cidomas",-6.9624223,108.2482652,"Talaga","https://www.google.com/maps/place/Jembatan+Cimanuk+Cidomas/data=!4m7!3m6!1s0x2e6f3b5b2c346651:0xec1e988ea0ec400a!8m2!3d-6.9624223!4d108.2482652!16s%2Fg%2F11kjm_m5q6!19sChIJUWY0LFs7by4RCkDsoI6YHuw?authuser=0&hl=id&rclk=1"
"Jembatan Cimanuk Tol Cipali KM161-400",-6.7011504,108.198178,"Talaga","https://www.google.com/maps/place/Jembatan+Cimanuk+Tol+Cipali+KM161-400/data=!4m7!3m6!1s0x2e6ed7a9db3edd97:0xbea416a378f94f3f!8m2!3d-6.7011504!4d108.198178!16s%2Fg%2F11c1n1_f3h!19sChIJl90-26nXbi4RP0_5eKMWpL4?authuser=0&hl=id&rclk=1"
"Jembatan Kalapa Dua",-6.8719259,108.2425685,"Sukahaji","https://www.google.com/maps/place/Jembatan+Kalapa+Dua/data=!4m7!3m6!1s0x2e6f257cbea00e4b:0x8f8f4db8cec12b29!8m2!3d-6.8719259!4d108.2425685!16s%2Fg%2F11hbhjh9xh!19sChIJSw6gvnwlby4RKSvBzrhNj48?authuser=0&hl=id&rclk=1"
"Jembatan Talang",-6.8527045,108.26265,"Sukahaji","https://www.google.com/maps/place/Jembatan+Talang/data=!4m7!3m6!1s0x2e6f25f9e6e37443:0x1431bfc6d905873!8m2!3d-6.8527045!4d108.26265!16s%2Fg%2F11stxljrmw!19sChIJQ3Tj5vklby4Rc1iQbfwbQwE?authuser=0&hl=id&rclk=1"
"Jembatan Cideres Girang",-6.8336139,108.2406578,"Sukahaji","https://www.google.com/maps/place/Jembatan+Cideres+Girang/data=!4m7!3m6!1s0x2e6f25f7a0b30495:0x578ae1f63c8cf76f!8m2!3d-6.8336139!4d108.2406578!16s%2Fg%2F11c6zk9x_t!19sChIJlQSzoPclby4Rb_eMPPbhilc?authuser=0&hl=id&rclk=1"
"jembatan Cihideung",-6.9831435,108.2270315,"Talaga","https://www.google.com/maps/place/jembatan+Cihideung/data=!4m7!3m6!1s0x2e6f30ad96d65cfd:0x85bacd6977e5c55d!8m2!3d-6.9831435!4d108.2270315!16s%2Fg%2F11h9zdrlft!19sChIJ_VzWlq0wby4RXcXld2nNuoU?authuser=0&hl=id&rclk=1"
"Jembatan Cileutik",-6.873766,108.2156777,"Sukahaji","https://www.google.com/maps/place/Jembatan+Cileutik/data=!4m7!3m6!1s0x2e6f2f98219edf13:0x6f726651908c8b14!8m2!3d-6.873766!4d108.2156777!16s%2Fg%2F11f1xqplj0!19sChIJE9-eIZgvby4RFIuMkFFmcm8?authuser=0&hl=id&rclk=1"
"Jembatan Bantar Merak",-6.9424679,108.2053354,"Malausma","https://www.google.com/maps/place/Jembatan+Bantar+Merak/data=!4m7!3m6!1s0x2e6f310021cf6089:0x2e3b0ff04a2c6314!8m2!3d-6.9424679!4d108.2053354!16s%2Fg%2F11mrlwryjc!19sChIJiWDPIQAxby4RFGMsSvAPOy4?authuser=0&hl=id&rclk=1"
"Jembatan cipondoh",-6.9552084,108.2206612,"Malausma","https://www.google.com/maps/place/Jembatan+cipondoh/data=!4m7!3m6!1s0x2e6f317129385501:0xa25c638b8a9af4d5!8m2!3d-6.9552084!4d108.2206612!16s%2Fg%2F11sv1cvhd9!19sChIJAVU4KXExby4R1fSaiotjXKI?authuser=0&hl=id&rclk=1"
"Jembatan Citerus",-6.9586935,108.1985116,"Malausma","https://www.google.com/maps/place/Jembatan+Citerus/data=!4m7!3m6!1s0x2e6f313989fb0f27:0x6b6c98daac26493b!8m2!3d-6.9586935!4d108.1985116!16s%2Fg%2F11r_tzgk8g!19sChIJJw_7iTkxby4RO0kmrNqYbGs?authuser=0&hl=id&rclk=1"
"Jembatan Dusun Pangkalan Cipeundeuy",-7.0193273,108.2298646,"Talaga","https://www.google.com/maps/place/Jembatan+Dusun+Pangkalan+Cipeundeuy/data=!4m7!3m6!1s0x2e6f377b0e5e50cf:0x2f0a467d59571bce!8m2!3d-7.0193273!4d108.2298646!16s%2Fg%2F11fx_28bm9!19sChIJz1BeDns3by4RzhtXWX1GCi8?authuser=0&hl=id&rclk=1"
"JEMBATAN CILULUK",-6.834262,108.2379342,"Sukahaji","https://www.google.com/maps/place/JEMBATAN+CILULUK/data=!4m7!3m6!1s0x2e6f25f7d65890a5:0xe19a5cc568c52112!8m2!3d-6.834262!4d108.2379342!16s%2Fg%2F11c6zjt6sx!19sChIJpZBY1vclby4REiHFaMVcmuE?authuser=0&hl=id&rclk=1"
"Jembatan Cikamarang",-6.8234643,108.1850532,"Sukahaji","https://www.google.com/maps/place/Jembatan+Cikamarang/data=!4m7!3m6!1s0x2e6f2938c047f557:0x82d035fb3811cd1b!8m2!3d-6.8234643!4d108.1850532!16s%2Fg%2F11nfv9str1!19sChIJV_VHwDgpby4RG80ROPs10II?authuser=0&hl=id&rclk=1"
"Jembatan Cisampora",-6.9942614,108.2113976,"Talaga","https://www.google.com/maps/place/Jembatan+Cisampora/data=!4m7!3m6!1s0x2e6f3747d5f13b7d:0x680079114ac3bddb!8m2!3d-6.9942614!4d108.2113976!16s%2Fg%2F11f26410bt!19sChIJfTvx1Uc3by4R273DShF5AGg?authuser=0&hl=id&rclk=1"
"Jembatan Cihideung",-6.9955714,108.2203913,"Talaga","https://www.google.com/maps/place/Jembatan+Cihideung/data=!4m7!3m6!1s0x2e6f374f3691a6e3:0x895c0d7c938060b!8m2!3d-6.9955714!4d108.2203913!16s%2Fg%2F11f1zlsb4b!19sChIJ46aRNk83by4RCwY4ydfAlQg?authuser=0&hl=id&rclk=1"
"Jembatan Cingaraja",-7.0358535,108.1714999,"Malausma","https://www.google.com/maps/place/Jembatan+Cingaraja/data=!4m7!3m6!1s0x2e6f37036e370ce9:0xd40013f6fef28e19!8m2!3d-7.0358535!4d108.1714999!16s%2Fg%2F11sfrtk5k0!19sChIJ6Qw3bgM3by4RGY7y_vYTANQ?authuser=0&hl=id&rclk=1"
"Jembatan Tonjong Cilangkap",-7.0175493,108.2550411,"Talaga","https://www.google.com/maps/place/Jembatan+Tonjong+Cilangkap/data=!4m7!3m6!1s0x2e6f390ed5eb73a5:0x618b90f08a4480e4!8m2!3d-7.0175493!4d108.2550411!16s%2Fg%2F11hz_m9n64!19sChIJpXPr1Q45by4R5IBEivCQi2E?authuser=0&hl=id&rclk=1"
"Jembatan sukajaya hilir",-6.8258482,108.208826,"Sukahaji","https://www.google.com/maps/place/Jembatan+sukajaya+hilir/data=!4m7!3m6!1s0x2e6f2f641e5aca41:0x65bd657eb4131da6!8m2!3d-6.8258482!4d108.208826!16s%2Fg%2F11q_53rl9j!19sChIJQcpaHmQvby4Rph0TtH5lvWU?authuser=0&hl=id&rclk=1"
"Sasak beusi SILIWANGI",-6.8177423,108.1975691,"Panyingkiran","https://www.google.com/maps/place/Sasak+beusi+SILIWANGI/data=!4m7!3m6!1s0x2e6f29000bc1c10d:0xef75683f22321b2c!8m2!3d-6.8177423!4d108.1975691!16s%2Fg%2F11y41p2fqd!19sChIJDcHBCwApby4RLBsyIj9ode8?authuser=0&hl=id&rclk=1"
"Jembatan Monjot",-6.7318252,108.1671086,"Sukahaji","https://www.google.com/maps/place/Jembatan+Monjot/data=!4m7!3m6!1s0x2e6ed63d508e8243:0x7fa20e306c87e97!8m2!3d-6.7318252!4d108.1671086!16s%2Fg%2F11c2y42r2n!19sChIJQ4KOUD3Wbi4Rl37IBuMg-gc?authuser=0&hl=id&rclk=1"
"Jembatan Gantung Blok Kepuh Desa Cijurey",-6.827999,108.1613506,"Panyingkiran","https://www.google.com/maps/place/Jembatan+Gantung+Blok+Kepuh+Desa+Cijurey/data=!4m7!3m6!1s0x2e6f29e529d8f829:0xf1fcae91fa6471c3!8m2!3d-6.827999!4d108.1613506!16s%2Fg%2F11s643gd0g!19sChIJKfjYKeUpby4Rw3Fk-pGu_PE?authuser=0&hl=id&rclk=1"
"Jembatan Gantung",-6.6926426,108.2843486,"Sumberjaya","https://www.google.com/maps/place/Jembatan+Gantung/data=!4m7!3m6!1s0x2e6ed9aa1ae92df5:0xd7873f33a2a96875!8m2!3d-6.6926426!4d108.2843486!16s%2Fg%2F11c5b16t9s!19sChIJ9S3pGqrZbi4RdWipojM_h9c?authuser=0&hl=id&rclk=1"
"Jembatan Cidangdung",-6.7323722,108.2023709,"Sukahaji","https://www.google.com/maps/place/Jembatan+Cidangdung/data=!4m7!3m6!1s0x2e6ed7da9f79ec81:0xdc0b88a07eb114bf!8m2!3d-6.7323722!4d108.2023709!16s%2Fg%2F11c70c10qn!19sChIJgex5n9rXbi4RvxSxfqCIC9w?authuser=0&hl=id&rclk=1"
